,State,Type,Operation,Count
0,AN,delta,tested,1376
1,AN,delta,vaccinated1,3
2,AN,delta,vaccinated2,13
3,AN,delta21_14,confirmed,9
4,AN,delta7,confirmed,3
5,AN,delta7,recovered,5
6,AN,delta7,tested,8936
7,AN,delta7,vaccinated1,884
8,AN,delta7,vaccinated2,10640
9,AN,meta,date,10/31/2021
10,AN,meta,last_updated,2021-11-01T11:03:10+05:30
11,AN,meta,population,397000
12,AN,meta,tested,10/31/2021
13,AN,meta,tested,https://dhs.andaman.gov.in/NewEvents/851.pdf
14,AN,meta,vaccinated,10/31/2021
15,AN,total,confirmed,7651
16,AN,total,deceased,129
17,AN,total,recovered,7518
18,AN,total,tested,598033
19,AN,total,vaccinated1,294001
20,AN,total,vaccinated2,200157
21,AP,delta,confirmed,385
22,AP,delta,deceased,4
23,AP,delta,recovered,675
24,AP,delta,tested,39848
25,AP,delta,vaccinated1,20497
26,AP,delta,vaccinated2,24137
27,AP,delta21_14,confirmed,3220
28,AP,delta7,confirmed,2873
29,AP,delta7,deceased,30
30,AP,delta7,recovered,3590
31,AP,delta7,tested,254532
32,AP,delta7,vaccinated1,1223010
33,AP,delta7,vaccinated2,1887005
34,AP,meta,date,10/31/2021
35,AP,meta,last_updated,2021-11-01T09:54:14+05:30
36,AP,meta,population,52221000
37,AP,meta,tested,10/31/2021
38,AP,meta,tested,https://twitter.com/ArogyaAndhra/status/1454748197272711177
39,AP,meta,vaccinated,10/31/2021
40,AP,total,confirmed,2066450
41,AP,total,deceased,14373
42,AP,total,recovered,2047722
43,AP,total,tested,29518787
44,AP,total,vaccinated1,32976969
45,AP,total,vaccinated2,20375181
46,AR,delta,confirmed,1
47,AR,delta,recovered,9
48,AR,delta,tested,334
49,AR,delta,vaccinated1,42
50,AR,delta,vaccinated2,195
51,AR,delta21_14,confirmed,87
52,AR,delta7,confirmed,66
53,AR,delta7,recovered,97
54,AR,delta7,tested,4788
55,AR,delta7,vaccinated1,3312
56,AR,delta7,vaccinated2,23647
57,AR,meta,date,10/31/2021
58,AR,meta,last_updated,2021-11-01T11:20:24+05:30
59,AR,meta,notes,[July 25]: All numbers corresponding to Papum Pare and Captial Complex are tracked under Papum Pare district.
60,AR,meta,population,1504000
61,AR,meta,tested,10/31/2021
62,AR,meta,tested,https://twitter.com/DirHealth_ArPr/status/1454823191751233544?s=20
63,AR,meta,vaccinated,10/31/2021
64,AR,total,confirmed,55155
65,AR,total,deceased,280
66,AR,total,recovered,54774
67,AR,total,tested,1185436
68,AR,total,vaccinated1,771875
69,AR,total,vaccinated2,534486
70,AS,delta,confirmed,212
71,AS,delta,deceased,1
72,AS,delta,recovered,236
73,AS,delta,tested,15060
74,AS,delta,vaccinated1,19124
75,AS,delta,vaccinated2,37463
76,AS,delta21_14,confirmed,1499
77,AS,delta7,confirmed,2056
78,AS,delta7,deceased,24
79,AS,delta7,recovered,2215
80,AS,delta7,tested,269097
81,AS,delta7,vaccinated1,274869
82,AS,delta7,vaccinated2,849889
83,AS,meta,date,10/31/2021
84,AS,meta,last_updated,2021-11-01T09:54:14+05:30
85,AS,meta,notes,[Jan 1]: 1347 cases i.e Covid +'tive patients dead for other reasons have been deducted fom active count.
86,AS,meta,population,34293000
87,AS,meta,tested,10/31/2021
88,AS,meta,tested,https://twitter.com/nhm_assam/status/1454837285032103940?s=20
89,AS,meta,vaccinated,10/31/2021
90,AS,total,confirmed,610645
91,AS,total,deceased,5997
92,AS,total,other,1347
93,AS,total,recovered,600974
94,AS,total,tested,24712042
95,AS,total,vaccinated1,20172463
96,AS,total,vaccinated2,8068795
97,BR,delta,confirmed,8
98,BR,delta,recovered,9
99,BR,delta,tested,226443
100,BR,delta,vaccinated1,114694
101,BR,delta,vaccinated2,145827
102,BR,delta21_14,confirmed,30
103,BR,delta7,confirmed,40
104,BR,delta7,recovered,31
105,BR,delta7,tested,1378539
106,BR,delta7,vaccinated1,1286708
107,BR,delta7,vaccinated2,2144970
108,BR,meta,date,10/31/2021
109,BR,meta,last_updated,2021-11-01T09:54:14+05:30
110,BR,meta,notes,[June 9] : 3951 deceased cases have been reported in the bulletin after reconciliation of records by the authorities
111,BR,meta,population,119520000
112,BR,meta,tested,10/31/2021
113,BR,meta,tested,https://twitter.com/BiharHealthDept/status/1454805874447290369?s=20
114,BR,meta,vaccinated,10/31/2021
115,BR,total,confirmed,726098
116,BR,total,deceased,9661
117,BR,total,other,1
118,BR,total,recovered,716390
119,BR,total,tested,50531824
120,BR,total,vaccinated1,49874828
121,BR,total,vaccinated2,18346781
122,CH,delta,confirmed,5
123,CH,delta,recovered,3
124,CH,delta,tested,1403
125,CH,delta,vaccinated1,211
126,CH,delta,vaccinated2,1282
127,CH,delta21_14,confirmed,23
128,CH,delta7,confirmed,28
129,CH,delta7,recovered,20
130,CH,delta7,tested,10726
131,CH,delta7,vaccinated1,3680
132,CH,delta7,vaccinated2,21641
133,CH,meta,date,10/31/2021
134,CH,meta,last_updated,2021-11-01T09:54:14+05:30
135,CH,meta,population,1179000
136,CH,meta,tested,10/31/2021
137,CH,meta,tested,https://t.me/Covid19india_Auxiliary_Test_Data/11877
138,CH,meta,vaccinated,10/31/2021
139,CH,total,confirmed,65351
140,CH,total,deceased,820
141,CH,total,recovered,64495
142,CH,total,tested,792851
143,CH,total,vaccinated1,926035
144,CH,total,vaccinated2,546981
145,CT,delta,confirmed,32
146,CT,delta,deceased,1
147,CT,delta,recovered,32
148,CT,delta,tested,11869
149,CT,delta,vaccinated1,21312
150,CT,delta,vaccinated2,39393
151,CT,delta21_14,confirmed,124
152,CT,delta7,confirmed,205
153,CT,delta7,deceased,5
154,CT,delta7,recovered,103
155,CT,delta7,tested,147451
156,CT,delta7,vaccinated1,379374
157,CT,delta7,vaccinated2,604260
158,CT,meta,date,10/31/2021
159,CT,meta,last_updated,2021-11-01T09:54:14+05:30
160,CT,meta,population,28724000
161,CT,meta,tested,10/31/2021
162,CT,meta,tested,https://twitter.com/HealthCgGov/status/1454835690198298624?s=20
163,CT,meta,vaccinated,10/31/2021
164,CT,total,confirmed,1006052
165,CT,total,deceased,13577
166,CT,total,recovered,992159
167,CT,total,tested,13709510
168,CT,total,vaccinated1,14851682
169,CT,total,vaccinated2,7343273
170,DL,delta,confirmed,45
171,DL,delta,recovered,46
172,DL,delta,tested,56751
173,DL,delta,vaccinated1,12482
174,DL,delta,vaccinated2,11839
175,DL,delta21_14,confirmed,195
176,DL,delta7,confirmed,267
177,DL,delta7,recovered,239
178,DL,delta7,tested,395086
179,DL,delta7,vaccinated1,160323
180,DL,delta7,vaccinated2,269146
181,DL,meta,date,10/31/2021
182,DL,meta,last_updated,2021-11-01T09:54:14+05:30
183,DL,meta,notes,"[July 14]: Value for the total tests conducted has been reduced by 97008 in the state bulletin. Reason given : ""Reconciled with ICMR figures"". We have made the same change."
184,DL,meta,population,19814000
185,DL,meta,tested,10/31/2021
186,DL,meta,tested,https://t.me/Covid19india_Auxiliary_Test_Data/11885
187,DL,meta,vaccinated,10/31/2021
188,DL,total,confirmed,1439870
189,DL,total,deceased,25091
190,DL,total,recovered,1414431
191,DL,total,tested,29427753
192,DL,total,vaccinated1,13055636
193,DL,total,vaccinated2,7425404
194,DN,delta,recovered,1
195,DN,delta,vaccinated1,3
196,DN,delta,vaccinated2,20
197,DN,delta21_14,confirmed,4
198,DN,delta7,recovered,2
199,DN,delta7,vaccinated1,2802
200,DN,delta7,vaccinated2,14244
201,DN,meta,date,10/31/2021
202,DN,meta,last_updated,2021-11-01T09:54:14+05:30
203,DN,meta,population,959000
204,DN,meta,tested,10/20/2020
205,DN,meta,tested,https://dddcovid19.in/uploads/report/BulletinDNHDD20102020.pdf
206,DN,meta,vaccinated,10/31/2021
207,DN,total,confirmed,10681
208,DN,total,deceased,4
209,DN,total,other,31
210,DN,total,recovered,10644
211,DN,total,tested,72410
212,DN,total,vaccinated1,660753
213,DN,total,vaccinated2,370255
214,GA,delta,confirmed,23
215,GA,delta,recovered,53
216,GA,delta,tested,2361
217,GA,delta,vaccinated1,2572
218,GA,delta,vaccinated2,12404
219,GA,delta21_14,confirmed,409
220,GA,delta7,confirmed,222
221,GA,delta7,deceased,6
222,GA,delta7,recovered,409
223,GA,delta7,tested,19026
224,GA,delta7,vaccinated1,8418
225,GA,delta7,vaccinated2,46494
226,GA,meta,date,10/31/2021
227,GA,meta,last_updated,2021-11-01T09:54:14+05:30
228,GA,meta,population,1540000
229,GA,meta,tested,10/31/2021
230,GA,meta,tested,https://www.goa.gov.in/wp-content/uploads/2021/10/Media-Bulletin-31st-October-2021.pdf
231,GA,meta,vaccinated,10/31/2021
232,GA,total,confirmed,178108
233,GA,total,deceased,3364
234,GA,total,recovered,174392
235,GA,total,tested,1468399
236,GA,total,vaccinated1,1262568
237,GA,total,vaccinated2,911114
238,GJ,delta,confirmed,20
239,GJ,delta,recovered,23
240,GJ,delta,tested,34282
241,GJ,delta,vaccinated1,14685
242,GJ,delta,vaccinated2,62096
243,GJ,delta21_14,confirmed,149
244,GJ,delta7,confirmed,159
245,GJ,delta7,deceased,2
246,GJ,delta7,recovered,116
247,GJ,delta7,tested,328489
248,GJ,delta7,vaccinated1,335172
249,GJ,delta7,vaccinated2,1660382
250,GJ,meta,date,10/31/2021
251,GJ,meta,last_updated,2021-11-01T09:54:14+05:30
252,GJ,meta,population,67936000
253,GJ,meta,tested,10/31/2021
254,GJ,meta,tested,https://t.me/Covid19india_Auxiliary_Test_Data/11879
255,GJ,meta,vaccinated,10/31/2021
256,GJ,total,confirmed,826577
257,GJ,total,deceased,10089
258,GJ,total,recovered,816283
259,GJ,total,tested,30928063
260,GJ,total,vaccinated1,44735217
261,GJ,total,vaccinated2,25972387
262,HP,delta,confirmed,85
263,HP,delta,deceased,1
264,HP,delta,recovered,198
265,HP,delta,tested,3613
266,HP,delta,vaccinated1,371
267,HP,delta,vaccinated2,8192
268,HP,delta21_14,confirmed,958
269,HP,delta7,confirmed,1537
270,HP,delta7,deceased,20
271,HP,delta7,other,-1
272,HP,delta7,recovered,1154
