,State,Districts,Type,Operation,Count
0,AN,Nicobars,delta7,vaccinated1,62
1,AN,Nicobars,delta7,vaccinated2,811
2,AN,Nicobars,meta,population,36842
3,AN,Nicobars,total,vaccinated1,25394
4,AN,Nicobars,total,vaccinated2,20313
5,AN,North and Middle Andaman,delta,vaccinated2,8
6,AN,North and Middle Andaman,delta7,vaccinated1,90
7,AN,North and Middle Andaman,delta7,vaccinated2,1839
8,AN,North and Middle Andaman,meta,population,105597
9,AN,North and Middle Andaman,total,vaccinated1,78945
10,AN,North and Middle Andaman,total,vaccinated2,59522
11,AN,South Andaman,delta,vaccinated1,3
12,AN,South Andaman,delta,vaccinated2,28
13,AN,South Andaman,delta7,vaccinated1,732
14,AN,South Andaman,delta7,vaccinated2,8012
15,AN,South Andaman,meta,population,238142
16,AN,South Andaman,total,vaccinated1,189662
17,AN,South Andaman,total,vaccinated2,120322
18,AN,Unknown,delta21_14,confirmed,9
19,AN,Unknown,delta7,confirmed,3
20,AN,Unknown,delta7,recovered,5
21,AN,Unknown,total,confirmed,7651
22,AN,Unknown,total,deceased,129
23,AN,Unknown,total,recovered,7518
24,AP,Anantapur,delta,confirmed,4
25,AP,Anantapur,delta,recovered,5
26,AP,Anantapur,delta,vaccinated1,4575
27,AP,Anantapur,delta,vaccinated2,5370
28,AP,Anantapur,delta21_14,confirmed,50
29,AP,Anantapur,delta7,confirmed,38
30,AP,Anantapur,delta7,recovered,58
31,AP,Anantapur,delta7,vaccinated1,92803
32,AP,Anantapur,delta7,vaccinated2,140903
33,AP,Anantapur,meta,population,4083315
34,AP,Anantapur,meta,tested,11/26/2020
35,AP,Anantapur,total,confirmed,157843
36,AP,Anantapur,total,deceased,1093
37,AP,Anantapur,total,recovered,156699
38,AP,Anantapur,total,tested,787085
39,AP,Anantapur,total,vaccinated1,2690082
40,AP,Anantapur,total,vaccinated2,1611476
41,AP,Chittoor,delta,confirmed,64
42,AP,Chittoor,delta,deceased,1
43,AP,Chittoor,delta,recovered,87
44,AP,Chittoor,delta,vaccinated1,878
45,AP,Chittoor,delta,vaccinated2,1306
46,AP,Chittoor,delta21_14,confirmed,631
47,AP,Chittoor,delta7,confirmed,516
48,AP,Chittoor,delta7,deceased,6
49,AP,Chittoor,delta7,recovered,629
50,AP,Chittoor,delta7,vaccinated1,63824
51,AP,Chittoor,delta7,vaccinated2,119541
52,AP,Chittoor,meta,population,4170468
53,AP,Chittoor,meta,tested,11/26/2020
54,AP,Chittoor,total,confirmed,246935
55,AP,Chittoor,total,deceased,1947
56,AP,Chittoor,total,recovered,244144
57,AP,Chittoor,total,tested,780322
58,AP,Chittoor,total,vaccinated1,2832987
59,AP,Chittoor,total,vaccinated2,1807873
60,AP,East Godavari,delta,confirmed,87
61,AP,East Godavari,delta,recovered,121
62,AP,East Godavari,delta,vaccinated1,41
63,AP,East Godavari,delta,vaccinated2,237
64,AP,East Godavari,delta21_14,confirmed,401
65,AP,East Godavari,delta7,confirmed,604
66,AP,East Godavari,delta7,recovered,520
67,AP,East Godavari,delta7,vaccinated1,36973
68,AP,East Godavari,delta7,vaccinated2,223236
69,AP,East Godavari,meta,population,5151549
70,AP,East Godavari,meta,tested,11/26/2020
71,AP,East Godavari,total,confirmed,293836
72,AP,East Godavari,total,deceased,1290
73,AP,East Godavari,total,recovered,291610
74,AP,East Godavari,total,tested,944746
75,AP,East Godavari,total,vaccinated1,3532220
76,AP,East Godavari,total,vaccinated2,1990578
77,AP,Foreign Evacuees,total,confirmed,434
78,AP,Foreign Evacuees,total,recovered,434
79,AP,Guntur,delta,confirmed,33
80,AP,Guntur,delta,recovered,198
81,AP,Guntur,delta,vaccinated1,1119
82,AP,Guntur,delta,vaccinated2,1248
83,AP,Guntur,delta21_14,confirmed,509
84,AP,Guntur,delta7,confirmed,272
85,AP,Guntur,delta7,deceased,4
86,AP,Guntur,delta7,recovered,619
87,AP,Guntur,delta7,vaccinated1,285377
88,AP,Guntur,delta7,vaccinated2,156818
89,AP,Guntur,meta,population,4889230
90,AP,Guntur,meta,tested,11/26/2020
91,AP,Guntur,total,confirmed,178068
92,AP,Guntur,total,deceased,1237
93,AP,Guntur,total,recovered,176629
94,AP,Guntur,total,tested,833823
95,AP,Guntur,total,vaccinated1,3440118
96,AP,Guntur,total,vaccinated2,1891773
97,AP,Krishna,delta,confirmed,46
98,AP,Krishna,delta,deceased,1
99,AP,Krishna,delta,recovered,71
100,AP,Krishna,delta,vaccinated1,51
101,AP,Krishna,delta,vaccinated2,337
102,AP,Krishna,delta21_14,confirmed,405
103,AP,Krishna,delta7,confirmed,422
104,AP,Krishna,delta7,deceased,9
105,AP,Krishna,delta7,recovered,467
106,AP,Krishna,delta7,vaccinated1,75352
107,AP,Krishna,delta7,vaccinated2,230788
108,AP,Krishna,meta,population,4529009
109,AP,Krishna,meta,tested,11/26/2020
110,AP,Krishna,total,confirmed,119348
111,AP,Krishna,total,deceased,1430
112,AP,Krishna,total,recovered,117130
113,AP,Krishna,total,tested,782232
114,AP,Krishna,total,vaccinated1,2971604
115,AP,Krishna,total,vaccinated2,1914927
116,AP,Kurnool,delta,confirmed,6
117,AP,Kurnool,delta,recovered,3
118,AP,Kurnool,delta,vaccinated1,4716
119,AP,Kurnool,delta,vaccinated2,1538
120,AP,Kurnool,delta21_14,confirmed,31
121,AP,Kurnool,delta7,confirmed,25
122,AP,Kurnool,delta7,recovered,26
123,AP,Kurnool,delta7,vaccinated1,178620
124,AP,Kurnool,delta7,vaccinated2,73119
125,AP,Kurnool,meta,population,4046601
126,AP,Kurnool,meta,tested,11/26/2020
127,AP,Kurnool,total,confirmed,124142
128,AP,Kurnool,total,deceased,853
129,AP,Kurnool,total,recovered,123264
130,AP,Kurnool,total,tested,867361
131,AP,Kurnool,total,vaccinated1,2672759
132,AP,Kurnool,total,vaccinated2,1290419
133,AP,Other State,total,confirmed,2461
